,ID,Nama,Nilai Mindset,Skillset,Toolset,Pengalaman (bulan),Total,Ranking
0,1,Bramanta Prasetyo,0.07718749766384038,0.2105893740785887,0.020251357965382775,0.16678849886970093,0.4748167285775128,1.0
1,2,Iqbal Adhiguna,0.03174756651419056,0.09210884548003341,0.00497220539169397,0.16678849886970093,0.2956171162556189,2.0
2,3,Zahra Mahardika,0.07718749766384038,0.04910469465561465,0.0012958391230640843,0.16678849886970093,0.29437653031222005,3.0
4,5,Alya Wardani,0.07718749766384038,0.026059108070483627,0.0012958391230640843,0.16678849886970093,0.271330943727089,4.0
7,8,Vino Aulia,0.03174756651419056,0.04910469465561465,0.0012958391230640843,0.16678849886970093,0.24893659916257022,5.0
3,4,Marwah Sari,0.03174756651419056,0.16571264932044633,0.0023521330603103238,0.027955748783753905,0.2277680976787011,6.0
5,6,Aluna Sari,0.03174756651419056,0.16571264932044633,0.0012958391230640843,0.027955748783753905,0.22671180374145486,7.0
6,7,Yasmin Putri,0.07718749766384038,0.026059108070483627,0.0012958391230640843,0.06860086311812656,0.17314330797551464,8.0
9,10,Irfan Cahyono,0.03174756651419056,0.09210884548003341,0.0012958391230640843,0.027955748783753905,0.15310799990104196,9.0
10,11,Anaya Pertiwi,0.012937548503405283,0.014317803566720277,0.0012958391230640843,0.06860086311812656,0.09715205431131621,10.0
8,9,Aryo Prakoso,0.03174756651419056,0.014317803566720277,0.0012958391230640843,0.027955748783753905,0.07531695798772883,11.0
